iter	RMSE
0	15.09310375
1	14.70914017
2	14.32125612
3	13.95202696
4	13.61294417
5	13.28354126
6	12.96183137
7	12.63708041
8	12.34575271
9	12.03535996
10	11.7509772
11	11.50351156
12	11.27252478
13	11.02162686
14	10.77499545
15	10.53673927
16	10.29576512
17	10.09725135
18	9.890190251
19	9.68929739
20	9.510773918
21	9.340455533
22	9.153038564
23	8.988925299
24	8.836821674
25	8.688931468
26	8.534291887
27	8.387236271
28	8.251396282
29	8.12814906
30	8.01710984
31	7.898609925
32	7.790054869
33	7.685460213
34	7.574931696
35	7.475575825
36	7.375451114
37	7.289649428
38	7.190498833
39	7.101812398
40	7.020400591
41	6.953490612
42	6.872970953
43	6.812502367
44	6.742956659
45	6.68302459
46	6.615471335
47	6.553085304
48	6.49668459
49	6.434901922
50	6.379195508
51	6.322541838
52	6.26965471
53	6.219821514
54	6.17364044
55	6.133173453
56	6.094321385
57	6.057662424
58	6.014794636
59	5.983979824
60	5.946295155
61	5.914022301
62	5.88028468
63	5.845280775
64	5.816570777
65	5.790010863
66	5.761111258
67	5.728230507
68	5.709652402
69	5.686710367
70	5.666475721
71	5.642865711
72	5.620054747
73	5.59886541
74	5.577588471
75	5.553133576
76	5.535184978
77	5.518185501
78	5.49997082
79	5.479161874
80	5.462847834
81	5.451116141
82	5.438564059
83	5.417165302
84	5.396972248
85	5.382261769
86	5.370788233
87	5.359257616
88	5.345402195
89	5.329217792
90	5.314759443
91	5.30159062
92	5.292506405
93	5.279422132
94	5.27078584
95	5.261309103
96	5.252495031
97	5.244115676
98	5.233994246
99	5.224585649
100	5.218036802
101	5.209585917
102	5.203262205
103	5.194424418
104	5.184628219
105	5.179007399
106	5.170126304
107	5.163915404
108	5.156539496
109	5.148613579
110	5.141561725
111	5.135564196
112	5.13107559
113	5.124977431
114	5.117372355
115	5.111101347
116	5.105976223
117	5.099816126
118	5.093139269
119	5.086287246
120	5.08014153
121	5.07656834
122	5.072660061
123	5.06685256
124	5.058196712
125	5.052650535
126	5.049545745
127	5.044617011
128	5.039606327
129	5.034334936
130	5.030654956
131	5.028355801
132	5.023823328
133	5.018538106
134	5.011881051
135	5.009944062
136	5.004757457
137	5.001533824
138	4.999022569
139	4.996419483
140	4.990429229
141	4.985288487
142	4.984374419
143	4.977393607
144	4.973182064
145	4.971350275
146	4.965731562
147	4.960839341
148	4.957871297
149	4.955422304
150	4.952188071
151	4.948463632
152	4.945913584
153	4.942276123
154	4.940093677
155	4.933007884
156	4.926560703
157	4.923336838
158	4.919523727
159	4.916100095
160	4.913384231
161	4.906976776
162	4.903168563
163	4.900607932
164	4.899632727
165	4.895356434
166	4.890702061
167	4.886498046
168	4.881342401
169	4.876337301
170	4.870418053
171	4.866040845
172	4.861545992
173	4.856874962
174	4.854389245
175	4.84940153
176	4.8452665
177	4.842604992
178	4.839928171
179	4.836308798
180	4.827638726
181	4.821848447
182	4.818876746
183	4.814936956
184	4.811435101
185	4.807382587
186	4.802928849
187	4.800770065
188	4.796538246
189	4.794336517
190	4.789295125
191	4.786270747
192	4.784839279
193	4.784277063
194	4.781325185
195	4.777077169
196	4.775506315
197	4.769863608
198	4.766695554
199	4.763319119
200	4.75806391
201	4.752980958
202	4.749239885
203	4.745037226
204	4.742667178
205	4.738060992
206	4.736267119
207	4.73313514
208	4.730235152
209	4.725391419
