iter	Passed	Remaining
0	0	82
1	1	73
2	2	96
3	3	85
4	4	82
5	4	73
6	5	69
7	6	71
8	6	66
9	7	63
10	7	61
11	8	58
12	8	57
13	9	56
14	10	59
15	11	61
16	12	59
17	12	58
18	13	59
19	14	57
20	14	56
21	15	54
22	15	52
23	16	51
24	16	49
25	16	48
26	17	46
27	17	45
28	18	44
29	18	43
30	19	43
31	19	42
32	20	41
33	20	40
34	21	39
35	21	38
36	22	37
37	22	37
38	23	36
39	23	35
40	24	35
41	25	34
42	25	33
43	25	32
44	26	32
45	26	31
46	27	30
47	27	29
48	27	28
49	27	27
50	28	27
51	28	26
52	28	25
53	29	24
54	29	24
55	30	23
56	30	22
57	30	22
58	31	21
59	31	20
60	31	20
61	32	19
62	32	19
63	32	18
64	33	18
65	33	17
66	34	16
67	34	16
68	35	15
69	35	15
70	35	14
71	36	14
72	36	13
73	37	13
74	37	12
75	37	11
76	38	11
77	38	10
78	38	10
79	39	9
80	39	9
81	39	8
82	40	8
83	40	7
84	41	7
85	41	6
86	41	6
87	42	5
88	42	5
89	42	4
90	43	4
91	43	3
92	43	3
93	43	2
94	44	2
95	44	1
96	45	1
97	45	0
98	45	0
99	46	0
